Tuple,AoI
"(1, 0, -5)",8
"(3, 3, 7)",4
"(-3, -3, -7)",3
"(4, 1, 6)",4
"(-4, -1, -6)",3
"(3, 4, -2)",26
"(1, -4, 5)",7
"(5, -3, -1)",4
"(0, -2, 5)",7
"(2, -1, -5)",6
"(-3, 1, -3)",34
"(-1, 1, 6)",5
"(1, 2, 7)",5
"(-1, -2, -7)",4
"(6, 2, 2)",12
"(-6, -2, -2)",7
"(-3, -4, -3)",37
"(-1, 5, 1)",9
"(0, -5, 2)",5
"(3, 5, -4)",4
"(2, -3, -2)",12
"(-4, 0, 4)",4
"(-1, 1, 5)",7
"(2, 3, 7)",3
"(3, 4, -7)",1
"(0, -1, -5)",27
"(4, -1, -2)",14
"(6, -1, -1)",12
"(-5, 0, -4)",10
"(5, 5, -4)",8
"(6, 6, 1)",6
"(-6, -6, -1)",4
"(-1, -3, 3)",17
"(3, -2, -5)",3
"(-5, -1, -3)",5
"(-1, -4, -5)",6
"(2, 1, 7)",3
"(-2, -1, -7)",3
"(1, 2, 5)",16
"(-1, -2, -5)",8
"(4, 4, -1)",20
"(-4, 5, 0)",9
"(-5, 2, 3)",1
"(-2, -2, -5)",30
"(-1, -1, 6)",7
"(3, -2, -4)",9
"(-3, -1, 4)",27
"(-5, 1, -3)",3
"(5, -2, -2)",11
"(-4, 1, -1)",11
"(-4, 5, 2)",3
"(1, 6, 3)",5
"(2, 7, 4)",2
"(-2, -7, 5)",2
"(-3, 3, 4)",18
"(0, -3, -4)",29
"(-1, -4, 1)",13
"(0, 2, 4)",20
"(2, -4, -4)",5
"(6, 1, -3)",1
"(2, -5, 0)",1
"(1, -4, 4)",3
"(2, 0, -4)",15
"(-5, -4, -4)",9
"(-6, -2, 3)",1
"(3, 3, 6)",8
"(4, 4, 7)",2
"(5, -4, 8)",1
"(-5, 0, -8)",1
"(4, 5, 0)",2
"(-4, -5, 0)",4
"(-4, 2, -2)",5
"(3, 2, 5)",14
"(4, 3, 6)",2
"(-4, -3, -6)",2
"(-2, 6, 2)",2
"(0, -6, -2)",3
"(5, 0, 1)",25
"(-5, 0, -1)",28
"(0, -2, 4)",19
"(2, -1, 6)",7
"(3, 0, 7)",1
"(-3, 0, -7)",2
"(5, -3, -4)",2
"(1, 5, -1)",9
"(-6, -1, -3)",3
"(4, 4, 5)",10
"(-4, -4, 6)",2
"(2, 5, 3)",8
"(-2, -5, -3)",5
"(6, -2, 0)",1
"(4, -3, 1)",18
"(-4, -2, -3)",16
"(-1, 4, 1)",22
"(0, 5, 2)",7
"(0, -5, 3)",5
"(-5, 1, 0)",16
"(1, 2, -4)",9
"(6, 4, 2)",3
"(-6, -4, -2)",3
"(-4, -1, 2)",16
"(-3, -4, 2)",3
"(-5, -5, 1)",2
"(-2, -3, 4)",22
"(6, 3, 0)",6
"(-6, -3, 0)",4
"(5, 5, 0)",4
"(6, 6, 0)",2
"(-6, 7, 0)",1
"(1, -7, 0)",3
"(-3, -5, 2)",2
"(5, -2, 0)",7
"(-4, 0, 2)",8
"(3, 1, 5)",16
"(-3, -1, -5)",10
"(2, 2, -6)",1
"(-5, -3, -2)",6
"(3, 1, 4)",44
"(-3, -1, -4)",22
